,CBP,Y
1345,2.1157184,-0.125130915
1224,1.2628069,-0.410007838
1163,1.0227386,-0.166663304
488,1.0168594,-1.002903346
1711,1.010072,-0.002347335
611,0.95021236,-0.660015645
2546,0.86929244,-0.513667592
423,0.79547065,-0.399254867
2185,0.791458,-0.436152707
2253,0.68885803,0.265619235
111,0.6633419,0.476132235
1198,0.6277957,-0.407382745
482,0.57565653,0.454916852
1308,0.5751475,-0.139820548
1761,0.5656408,0.595488807
739,0.56223077,-0.40216823
728,0.56037563,-0.245786241
1280,0.5356263,0.392088672
2158,0.5345124,0.041715791
586,0.53445846,-1.179232308
2587,0.5239609,-1.550566062
1141,0.5196834,-3.719494221
1558,0.51416683,-0.248958167
927,0.5099807,1.009371145
1572,0.5048094,-0.589580284
142,0.49648467,0.038252511
2435,0.49521285,0.143757737
1393,0.48228988,-0.395032709
314,0.48080006,-0.725980717
2744,0.47999927,0.582165627
2198,0.47356817,-0.079483438
71,0.46930844,0.609381555
2488,0.46611902,-0.86375103
2752,0.46495265,1.06398927
296,0.46470305,-0.302454418
667,0.45552012,0.611718148
717,0.45488036,0.309822898
831,0.45409152,-1.309122403
1379,0.44031158,1.706820002
2030,0.4372426,0.686398608
1891,0.42966288,-0.123693542
1226,0.42950594,-0.420609826
2057,0.41438472,-0.163213906
1495,0.41221306,0.473745144
1233,0.3952577,0.08171004
2522,0.3950661,0.01711227
2497,0.39481446,-0.337732227
813,0.39289188,-0.045606378
2482,0.39133054,-0.137097741
937,0.37875128,-0.464170432
1957,0.36676723,0.550521068
150,0.36485815,0.158000206
6,0.35530338,0.05555409
2012,0.35485923,-1.039877256
1816,0.3414014,0.262977354
472,0.34079385,-0.357567468
1207,0.33985054,-0.472378222
2165,0.33661988,-1.085301679
842,0.32662576,-0.045130561
860,0.3233807,0.673243308
2189,0.32299536,-0.034356744
1407,0.32261366,0.813021849
48,0.30814555,-0.38134209
2575,0.30812654,-0.100144263
2197,0.3039269,0.426644517
2230,0.30333248,-0.94969123
2760,0.29976308,0.956911014
1267,0.2993225,0.424637217
1719,0.29880515,-0.498403529
269,0.29346085,-0.106122144
230,0.29081675,0.307980484
366,0.29081675,-0.889718284
1287,0.28886425,-0.445826166
2351,0.28715843,-0.04274296
2540,0.2787384,1.066505098
2003,0.2753904,-0.543770896
447,0.2742311,-0.509478664
2545,0.27223197,-1.335382064
1079,0.2712138,-0.047116847
1646,0.27004048,1.374416135
283,0.2697418,-0.313464799
1170,0.26944104,-0.484221424
931,0.26505786,4.162095646
783,0.26444688,-0.061805775
1831,0.2626975,0.224506919
1846,0.26128262,-0.380288367
1876,0.26088667,-0.429699963
2560,0.25878942,0.184691335
1734,0.25713587,-0.257928224
355,0.25613597,-2.012917138
2373,0.2525859,-0.363762509
367,0.25226018,0.015704307
1213,0.25224906,0.026066176
1405,0.2519985,-0.019538817
589,0.25166038,-0.408012225
1568,0.25009483,-0.461295916
100,0.247869,-0.08666687
996,0.24569863,3.031979949
410,0.24538732,-0.291400374
878,0.24475144,1.216463763
1023,0.24409986,0.134362734
916,0.24386461,0.926769935
2597,0.24053515,0.672705069
2127,0.24044067,-1.037631357
2,0.24037209,1.405238194
2178,0.23895003,0.737822813
2008,0.23894551,-1.044322957
1412,0.23748513,-0.488584466
2506,0.23593065,0.316754868
2107,0.23539957,0.158277067
2722,0.23485674,0.698212897
2472,0.23458913,0.891749477
2281,0.23233296,0.009840416
704,0.23067164,-0.029879898
430,0.23028626,-0.519615419
2287,0.22866665,0.8019688
2678,0.22847569,-0.001633778
2088,0.22746392,-0.431910669
697,0.22545311,0.063884504
253,0.22527939,-0.314249457
1034,0.22125699,0.10299051
286,0.22046012,-0.61822828
232,0.22045405,0.631440214
2323,0.21907131,-0.174571134
2535,0.21860655,-0.78989197
2617,0.21794558,-3.771855722
234,0.21693498,-0.570457005
1415,0.2162543,-0.173021095
1565,0.21474628,0.233389006
921,0.21414329,-1.069604951
756,0.21336383,-0.096734378
1519,0.21161549,-1.312422356
1339,0.21096067,-0.30480463
1577,0.21075666,1.04309182
1866,0.21074937,-0.349466432
2440,0.21044946,-0.139856323
2627,0.20691688,1.001797379
21,0.2067388,-0.601980408
1595,0.20651048,-0.233034628
763,0.20530583,-0.028831316
1899,0.20433502,0.208839056
2359,0.20407677,-0.13188464
1514,0.20391297,0.292515021
2153,0.20358086,0.621575249
1167,0.20235388,-0.740400394
766,0.20066354,0.137774076
1070,0.20044337,0.14748251
1251,0.19753723,0.141238819
2316,0.19696134,0.593752388
1977,0.19671498,-0.00719298
2319,0.19665961,0.125338942
732,0.19621487,-1.634081983
2211,0.19536455,-0.264183266
361,0.1943855,0.170054641
2613,0.19381092,-0.389713974
145,0.19281907,-0.02338398
1244,0.19276477,-0.222700512
377,0.19054149,-0.223084642
1463,0.19051556,-1.741052446
1721,0.19023146,-2.114905291
2600,0.18901631,-0.890057995
289,0.18871938,-0.516864073
411,0.18778805,-0.299348042
551,0.18670623,0.201413985
1533,0.18662103,-0.220355506
2136,0.18535504,-0.753295836
692,0.18413834,0.487952112
1925,0.18397182,0.027924572
1399,0.18339035,0.916749896
2780,0.18110782,-0.099265385
19,0.1800682,-0.225088967
1733,0.17985032,-0.259495936
583,0.17953056,-0.350858495
953,0.179408,0.169351656
1949,0.17912215,0.887882436
2530,0.17756613,4.639483026
1576,0.17696139,-0.211650975
1423,0.17667231,0.57070464
1882,0.17650416,1.204350618
177,0.17539513,0.091258647
605,0.1743052,-1.395123408
1804,0.17245147,0.313418358
1732,0.17192549,-0.367628202
2687,0.17139444,0.438213483
2026,0.17118444,0.405090664
1205,0.1709822,-0.600978321
341,0.17096798,0.892773182
1058,0.16921702,-0.68543462
2195,0.1689423,-0.674148853
493,0.16823018,-0.44720218
1310,0.16759501,-0.830915889
2194,0.16719408,0.882775749
2450,0.16708718,0.760666554
1614,0.16590603,-0.219350352
1334,0.16583918,0.146323091
1863,0.16490754,0.281388738
564,0.1647222,-0.028377999
2325,0.16433936,0.312459148
1013,0.16379185,-0.124320104
2358,0.1632945,0.442996631
2009,0.16316348,-0.394736935
913,0.16292755,0.420829148
1608,0.15857102,-0.995184105
2188,0.15820394,0.065108348
409,0.15806924,0.556135354
2186,0.15800667,-0.709980322
2376,0.1578118,-0.833289335
1124,0.15744394,0.177732175
1077,0.15732998,0.03255974
771,0.15729451,0.040868842
11,0.156582,-0.129847982
2500,0.15600991,-0.608687288
1528,0.1560093,-0.693646791
1105,0.15530558,0.823466396
