,CBP,Y
29,[-0.0005126],4.683415552330839
1034,[-0.00832844],4.562744326999045
1547,[0.0149641],4.556648961947907
3031,[-0.01523447],4.4388636051856665
1133,[0.07989073],4.196465774886773
3064,[0.06554556],4.151525172192748
3329,[-0.00251245],4.132218624381145
4164,[0.00074816],4.115664532635955
2825,[0.00146055],4.093036887464877
2622,[0.03243732],3.973201234310853
3955,[-0.0561614],3.939446202659998
3878,[0.00901937],3.8939305027225593
1505,[-0.00790739],3.714319864217
4080,[0.00868082],3.704804612001696
681,[-0.01284313],3.69086036395204
3408,[0.06500912],3.680280762543824
1901,[-0.01989031],3.63915963850848
2587,[-0.0341711],3.5884410384429146
2600,[-0.01970291],3.5479960098052383
2325,[-0.02424431],3.534579526842069
1301,[-0.01298618],3.520036448323753
2843,[-0.00938654],3.495468089100514
2073,[-0.01271725],3.4586473676462663
3032,[-0.0341711],3.44955335434134
3358,[0.01874876],3.439665278453174
1565,[-4.7683716e-06],3.393410523003002
2702,[0.00534344],3.3831749305964567
1982,[-0.01464128],3.3828633703610462
3549,[0.00982189],3.3474857592988903
2991,[-0.02713203],3.34729779516032
2295,[-0.10208511],3.29299582147854
3506,[-0.01824617],3.133995369581978
2891,[0.09661388],3.1083004665566
2053,[-4.7683716e-06],3.10320868102619
1728,[-0.00213289],3.094907507656853
4074,[0.02099323],3.049000936905554
385,[0.0045085],3.0229573171272346
3801,[0.03817081],3.0226391813848617
3308,[-0.00020981],2.9952100844357816
3959,[0.0141387],2.948687245748372
1289,[0.01265621],2.903823821546321
3093,[-0.01664639],2.902512374305911
3350,[-0.00866461],2.891624167084296
2002,[-0.00177479],2.866976530080289
2314,[0.00731468],2.845056607200915
1066,[-0.00353384],2.8409673525252828
1060,[-0.00425577],2.8297492306035235
274,[0.0776763],2.828276954443961
878,[-0.08148003],2.82808690882246
3693,[-0.02708101],2.82287923594402
4163,[-0.00933647],2.813029617600067
1528,[-0.02273321],2.790352338148674
1347,[-0.02325916],2.767279642096665
2197,[0.00943899],2.744119002265258
1225,[-0.00676966],2.730316174471706
621,[0.01271868],2.7220870152645693
570,[0.01915359],2.694145035979337
276,[0.01851845],2.689697797639682
1598,[0.02131701],2.684917736737924
1940,[-0.01059484],2.67152507031628
1519,[-0.04444361],2.665892673273144
611,[-0.01506948],2.6535483158183766
1210,[-0.01122427],2.652787673886224
3583,[0.0036726],2.6490142004461483
1464,[0.02269888],2.634915087463808
2384,[0.02372599],2.634876186457181
577,[-0.03767395],2.633590090070238
1241,[0.0108366],2.631186513511067
3756,[-0.00912714],2.610847092356294
3695,[-0.00511837],2.600235087685047
39,[-0.00814533],2.5914317030067373
2699,[0.00254917],2.589593328719585
3170,[0.00901937],2.5879386185604165
2850,[0.0075469],2.576749363147804
2263,[0.01118851],2.574876897252595
2919,[-0.01055908],2.555705381752069
33,[-0.06436729],2.546011587113983
774,[-0.01044369],2.542709170852881
4006,[0.00116301],2.5390147415760147
349,[0.00448465],2.537100203237589
1770,[-0.00189829],2.506683444700086
476,[0.00681639],2.504301839107517
45,[-0.02069235],2.4908857634765367
990,[0.00343037],2.481597634598206
1706,[0.0205307],2.4728753844800044
2517,[-0.04090691],2.446453000342748
2387,[0.01953268],2.41276184387166
1589,[-0.00148869],2.4116539232242595
1255,[0.00237513],2.404269713449518
1731,[-0.00410461],2.402569027374999
23,[0.01766634],2.397418753783481
2502,[-0.00849056],2.385466231294612
1816,[0.00539732],2.3837068173914404
3452,[-0.00383234],2.366320663809623
50,[0.01533556],2.3645362027370136
1145,[0.00540924],2.357420599963361
1924,[0.0230546],2.3552026083145687
3118,[0.02408075],2.354247920613061
1933,[-0.04437876],2.342118165798663
664,[-0.0080471],2.3246557553202
832,[0.01405907],2.3141858649752427
394,[-0.02194405],2.3094120115476184
1880,[-0.02530003],2.301917320001518
3425,[0.08080769],2.301274959007764
1714,[-0.02047634],2.2768557541334644
2904,[-0.00683832],2.2752755715463597
541,[0.01783514],2.2742721147619096
3892,[0.00838852],2.27355411031975
327,[0.04194307],2.266022468129464
449,[-0.03262615],2.25874815559886
170,[0.0009861],2.244586988688265
