,CBP,Y
29,[0.03092957],4.683415552330839
1034,[0.53565264],4.562744326999045
1547,[-0.03218222],4.556648961947907
3031,[0.00917482],4.4388636051856665
1133,[-0.00729942],4.196465774886773
3064,[-0.01111984],4.151525172192748
3329,[0.00488329],4.132218624381145
4164,[0.01454592],4.115664532635955
2825,[0.08662319],4.093036887464877
2622,[0.0765152],3.973201234310853
3955,[-0.0433569],3.939446202659998
3878,[-0.01130915],3.8939305027225593
1505,[0.02175426],3.714319864217
4080,[0.00762129],3.704804612001696
681,[0.00265455],3.69086036395204
3408,[0.08834696],3.680280762543824
1901,[-0.09484649],3.63915963850848
2587,[-0.03753233],3.5884410384429146
2600,[-0.00276279],3.5479960098052383
2325,[-0.10112476],3.534579526842069
1301,[0.00895882],3.520036448323753
2843,[0.00150537],3.495468089100514
2073,[0.00235939],3.4586473676462663
3032,[-0.03753233],3.44955335434134
3358,[-0.26052833],3.439665278453174
1565,[0.],3.393410523003002
2702,[-0.1907742],3.3831749305964567
1982,[-0.0183146],3.3828633703610462
3549,[0.00477219],3.3474857592988903
2991,[-0.0206356],3.34729779516032
2295,[-0.04009342],3.29299582147854
3506,[0.00577688],3.133995369581978
2891,[-0.01564407],3.1083004665566
2053,[0.],3.10320868102619
1728,[0.00473976],3.094907507656853
4074,[-0.7487602],3.049000936905554
385,[0.03030205],3.0229573171272346
3801,[0.0363822],3.0226391813848617
3308,[-0.03444481],2.9952100844357816
3959,[0.08281136],2.948687245748372
1289,[-0.01897478],2.903823821546321
3093,[-0.00546694],2.902512374305911
3350,[0.0744071],2.891624167084296
2002,[0.01576138],2.866976530080289
2314,[-0.00042534],2.845056607200915
1066,[0.0041666],2.8409673525252828
1060,[-0.0393827],2.8297492306035235
274,[-0.0025115],2.828276954443961
878,[0.11426353],2.82808690882246
3693,[-0.03039932],2.82287923594402
4163,[-0.01189661],2.813029617600067
1528,[-0.00962543],2.790352338148674
1347,[0.01804805],2.767279642096665
2197,[0.00162601],2.744119002265258
1225,[-0.02150106],2.730316174471706
621,[0.0409236],2.7220870152645693
570,[0.01093578],2.694145035979337
276,[0.0706768],2.689697797639682
1598,[0.02794695],2.684917736737924
1940,[-0.01606846],2.67152507031628
1519,[0.07219839],2.665892673273144
611,[-0.25295782],2.6535483158183766
1210,[0.00076103],2.652787673886224
3583,[0.06323099],2.6490142004461483
1464,[0.07153749],2.634915087463808
2384,[0.01726151],2.634876186457181
577,[-0.0240345],2.633590090070238
1241,[-0.00072956],2.631186513511067
3756,[-0.01579928],2.610847092356294
3695,[0.04422569],2.600235087685047
39,[-0.01760435],2.5914317030067373
2699,[0.12303042],2.589593328719585
3170,[-0.01130915],2.5879386185604165
2850,[-0.10634041],2.576749363147804
2263,[0.02419972],2.574876897252595
2919,[-0.01517868],2.555705381752069
33,[0.00248623],2.546011587113983
774,[0.01963425],2.542709170852881
4006,[-0.07720518],2.5390147415760147
349,[0.08034086],2.537100203237589
1770,[-0.03956699],2.506683444700086
476,[0.04047632],2.504301839107517
45,[0.19711637],2.4908857634765367
990,[-0.05784678],2.481597634598206
1706,[-0.005795],2.4728753844800044
2517,[0.00977707],2.446453000342748
2387,[0.06241798],2.41276184387166
1589,[0.00382996],2.4116539232242595
1255,[-0.15744448],2.404269713449518
1731,[-0.03747272],2.402569027374999
23,[0.01618814],2.397418753783481
2502,[-0.00740671],2.385466231294612
1816,[0.03420925],2.3837068173914404
3452,[-0.00942993],2.366320663809623
50,[-0.02419281],2.3645362027370136
1145,[0.03058243],2.357420599963361
1924,[-0.02432966],2.3552026083145687
3118,[0.07550883],2.354247920613061
1933,[-0.10343981],2.342118165798663
664,[-0.00397968],2.3246557553202
832,[0.10558391],2.3141858649752427
394,[0.0213089],2.3094120115476184
1880,[0.14876318],2.301917320001518
3425,[0.01476049],2.301274959007764
1714,[-0.05878305],2.2768557541334644
2904,[-0.08848238],2.2752755715463597
541,[0.01914215],2.2742721147619096
3892,[-0.00073814],2.27355411031975
327,[0.04017735],2.266022468129464
449,[-0.08098555],2.25874815559886
170,[0.13400745],2.244586988688265
2413,[-0.30208063],2.235245609375213
3361,[-0.0209837],2.211651473958616
3637,[0.02669191],2.200074771059204
3538,[-0.00326681],2.1981035925729544
1618,[-0.00598001],2.1845317558992066
1287,[0.01788902],2.181260697397541
1914,[-0.01470995],2.1755715645834544
1232,[0.02484703],2.165674561664912
3405,[-0.02361703],2.163045414522972
860,[0.03212929],2.141449326212516
3529,[0.06955242],2.1330265459021422
3375,[-0.00556469],2.1254445389430874
814,[-0.01378059],2.1148501574920906
593,[-0.01927757],2.11182738964954
1889,[0.01239872],2.087755330625919
3298,[0.02084684],2.085333423960704
173,[-0.18359613],2.082609322793364
2025,[-0.13467884],2.071931078216259
3997,[-0.00503683],2.070785238150238
912,[0.07400179],2.0690466422128453
303,[-0.00822353],2.04691595176385
3395,[0.01187611],2.039626258986994
1109,[-0.06447577],2.0385072546588248
3957,[0.06006861],2.0325906220259826
1418,[0.01785421],2.028496271539712
4184,[0.02573776],2.025354402598145
1240,[-0.04815745],2.02462431848278
269,[-0.10494471],2.003869157959388
2208,[0.06308174],2.000547477727481
2051,[0.00505829],1.9974453122359208
4090,[-0.03482056],1.992951972116681
3777,[0.01186538],1.9910414061199109
2497,[-0.07792187],1.9835588517975125
1165,[-0.01129866],1.980478590398654
3197,[0.02726841],1.97881983771934
1580,[-0.02279043],1.9785105770257805
2112,[-0.00995016],1.9767143087374195
3442,[-0.0833602],1.9718155528143777
2873,[-0.06091928],1.952108799777102
3227,[-0.01362991],1.946022055639675
74,[0.01176214],1.945853229840486
103,[0.01141405],1.945497151137976
1607,[-0.02593565],1.944447236189133
529,[0.0141499],1.9355832715042296
1125,[-0.0212965],1.9254034150061383
3791,[0.04290199],1.9244983968759133
896,[0.05433798],1.9204707393319216
1278,[0.02468348],1.9113625870394768
