,CBP,Y
293,0.97123456,1.486969663
175,0.73372924,-1.975548538
449,0.54211986,-1.711894283
241,0.44142324,-1.454237066
363,0.41445324,1.091953874
435,0.40376806,-1.727396039
111,0.4030223,1.956176355
110,0.38440213,1.961169924
249,0.3516796,1.632744019
399,0.3169035,-1.425111615
68,0.28715843,-2.269728635
250,0.2728419,1.340037939
452,0.2531739,1.00836044
332,0.24289133,-1.38047575
403,0.2418735,1.953000437
173,0.24037209,1.405238194
30,0.22849138,3.506127044
421,0.22780348,-0.993125884
102,0.21794455,-3.771855722
117,0.21301386,6.236945556
303,0.21287453,1.847961641
378,0.19860719,1.524496552
453,0.19471146,0.728194749
223,0.19023146,-2.114905291
65,0.18918014,-2.582098708
349,0.16694777,-2.716833729
270,0.16686061,-1.666679534
64,0.15948859,2.716445086
279,0.15903442,-1.383787687
392,0.15844035,1.052247791
208,0.15587114,1.76610747
40,0.15052034,4.025796481
444,0.14971022,2.606915508
34,0.1483481,4.214048109
55,0.14637275,-2.873642311
126,0.14583701,-4.85357962
301,0.13852976,-1.156064424
288,0.13747275,1.558566255
400,0.13656798,2.872898791
118,0.1356011,2.049239095
437,0.13098635,1.149425063
302,0.12839244,1.793881075
120,0.127108,-1.798973594
202,0.12497999,-1.797428115
98,0.124691814,-2.593381307
131,0.123564474,1.828106348
137,0.12254809,1.905517766
224,0.122031406,1.606519802
146,0.116793215,-1.769384057
434,0.11300209,-1.064670115
391,0.1108788,-1.623903112
319,0.11013152,1.174935308
372,0.10848155,1.93665903
59,0.10837689,-3.30204627
409,0.108022355,-1.277385587
215,0.10715704,2.475865096
375,0.107030734,1.781810836
394,0.106393136,1.698995379
25,0.102712296,-3.425236183
32,0.09882565,-2.979965127
299,0.0986652,1.130072296
103,0.0972212,1.773307375
205,0.09663537,1.538171627
281,0.09631881,1.353399694
112,0.09354024,2.036667215
369,0.092361,-1.638787755
165,0.09151432,2.457476291
203,0.090417586,-1.614562079
48,0.090222605,2.283833041
42,0.08979926,4.196246154
445,0.08568884,1.172463616
209,0.08479298,1.363508818
172,0.08474482,1.632525193
355,0.08315304,-1.184185522
248,0.08129,-1.653824603
200,0.08118271,1.943576434
140,0.08078322,2.091863114
376,0.07980929,-1.201578678
60,0.0794685,3.694334533
280,0.0788738,2.72626375
294,0.07872187,-1.933875273
321,0.07729558,-1.246008485
276,0.076453224,-1.348093853
271,0.076224856,1.282648515
262,0.07596676,-1.366702392
3,0.07579037,-5.149067914
289,0.07508297,-1.209260655
406,0.07500166,1.001014406
124,0.07337032,-1.693983598
325,0.072804004,-1.181586773
439,0.07278798,0.912154175
433,0.072641626,-1.347667094
441,0.072296515,3.368465368
322,0.06889551,1.334986869
265,0.068729736,-1.694985111
352,0.06816324,1.425799888
