,CBP,Y
293,0.9225526,1.486969663
55,0.7381886,-2.873642311
30,0.70033276,3.506127044
372,0.6425587,1.93665903
437,0.62879276,1.149425063
153,0.57216835,2.397801567
175,0.55567366,-1.975548538
399,0.5295069,-1.425111615
325,0.50399554,-1.181586773
110,0.4903019,1.961169924
239,0.48768955,-1.649966561
449,0.476242,-1.711894283
378,0.4754044,1.524496552
173,0.46294793,1.405238194
329,0.46211532,-1.445594527
98,0.4428399,-2.593381307
419,0.42358527,0.981965438
337,0.41991016,-1.202137483
358,0.41586798,1.328931783
249,0.40745565,1.632744019
7,0.40655977,-6.629883714
303,0.39059883,1.847961641
400,0.39021435,2.872898791
415,0.3539963,-1.199116797
421,0.33276334,-0.993125884
301,0.33044153,-1.156064424
68,0.2982132,-2.269728635
25,0.29429483,-3.425236183
355,0.2885828,-1.184185522
304,0.27956426,1.697354202
418,0.25822872,-0.908183722
167,0.2573297,-1.536751331
2,0.25675246,6.85891653
112,0.25222105,2.036667215
238,0.25076073,1.792095065
453,0.24623276,0.728194749
40,0.24489208,4.025796481
149,0.24017903,2.04431443
18,0.23987599,-3.909872682
273,0.2370439,2.607534874
423,0.23252487,-1.729371935
250,0.22898394,1.340037939
141,0.2269616,-1.810746128
42,0.21565859,4.196246154
229,0.21492678,1.514029283
282,0.20831876,-2.282447023
279,0.20775656,-1.383787687
367,0.20055741,-1.518280129
65,0.19960885,-2.582098708
248,0.19857304,-1.653824603
351,0.19445464,-0.970665266
189,0.19061714,1.569466048
19,0.18867819,6.07314227
391,0.18846932,-1.623903112
128,0.18738303,2.154015307
226,0.18495825,-1.490931527
213,0.18118714,1.689899336
375,0.17803565,1.781810836
452,0.17183083,1.00836044
72,0.16712317,3.039249254
212,0.16527168,-2.148996434
286,0.1632051,1.269915861
306,0.16302341,-1.111489172
102,0.1618712,-3.771855722
84,0.15944809,-3.026500812
270,0.1569615,-1.666679534
3,0.15267447,-5.149067914
218,0.1522197,1.365233415
241,0.14607918,-1.454237066
381,0.14436495,-1.087677987
26,0.1426814,-5.57750518
439,0.1401247,0.912154175
305,0.13977319,-1.28000561
156,0.136496,-1.946478645
383,0.13612673,-1.353121614
191,0.13469,-3.599910647
338,0.12688608,-1.251009048
190,0.12591317,-1.756158856
14,0.1255708,6.414533932
146,0.124579355,-1.769384057
280,0.12416108,2.72626375
38,0.12271348,-3.599932677
231,0.122339696,1.283890535
406,0.120782085,1.001014406
373,0.11974032,-1.259120389
132,0.11845479,1.485398142
429,0.118173555,1.871671946
389,0.11447646,1.420147376
193,0.113006234,-1.993161256
215,0.11223983,2.475865096
187,0.11215025,1.550204272
97,0.10973551,2.406676478
209,0.10965741,1.363508818
181,0.10263269,-2.188038084
117,0.101772465,6.236945556
221,0.10161139,1.731312322
126,0.10160209,-4.85357962
233,0.09967671,1.810873386
450,0.097678855,1.069499624
402,0.09675617,0.989162781
271,0.09278213,1.282648515
246,0.09260392,-1.25695462
352,0.08925714,1.425799888
202,0.08894801,-1.797428115
16,0.0889168,5.828135839
319,0.08858171,1.174935308
272,0.0884405,1.227174569
266,0.0882349,-1.414487097
447,0.08720934,-2.89251186
94,0.087051,2.052619284
390,0.08572319,-1.489107333
58,0.08489434,-5.775027863
445,0.08235065,1.172463616
96,0.07893731,2.465417515
122,0.078860775,-2.049729447
394,0.07784254,1.698995379
448,0.07621637,1.348303618
160,0.07611441,2.03312065
47,0.07448498,2.913664644
29,0.07343652,5.28037773
263,0.0722867,-1.087673435
345,0.070875645,1.990972327
224,0.07031605,1.606519802
441,0.06895897,3.368465368
235,0.06840338,-2.489824668
121,0.06773534,-2.736974545
194,0.06572871,1.6436566
165,0.065555505,2.457476291
443,0.06495536,-1.541549416
113,0.063164964,-2.09093618
185,0.06267466,1.73965628
34,0.062450524,4.214048109
363,0.06172337,1.091953874
342,0.05963476,3.157710489
49,0.056663677,-3.0550422
37,0.056640197,-4.784511754
207,0.056530226,1.871245795
374,0.055765666,-0.931433221
91,0.055756398,-2.338263305
119,0.055219706,-2.27004489
197,0.054418012,1.64243524
172,0.0528937,1.632525193
253,0.052478995,-1.612114038
118,0.05153573,2.049239095
139,0.051218234,2.126834393
144,0.049687386,1.703146138
78,0.04747093,2.134087501
285,0.046798453,1.684293841
262,0.046713874,-1.366702392
430,0.044623077,2.990495323
85,0.044226006,2.998836424
256,0.04381114,-1.278887698
247,0.043747067,-1.493939082
388,0.042339038,2.427259798
368,0.037737966,1.097387767
159,0.036244053,2.197550876
150,0.036112897,1.691043866
82,0.035474535,-3.090893733
137,0.03483791,1.905517766
57,0.034268018,-4.595602723
434,0.03379433,-1.064670115
407,0.03361859,-1.127789376
396,0.032986525,-1.16299993
451,0.03163037,-1.247444204
123,0.03150232,1.980290799
335,0.031047422,-1.658902861
290,0.03096023,1.324375251
232,0.029866673,-1.36891129
176,0.029784968,-1.403623289
410,0.02940081,-1.158134447
99,0.029342502,3.072988424
240,0.025945691,1.308742217
324,0.02528085,1.248369712
217,0.024994373,-1.41259009
361,0.024934199,1.29378123
265,0.024112113,-1.694985111
24,0.023563512,-5.108184033
201,0.023396844,2.068542908
287,0.022471106,-1.5059536
158,0.022434022,-1.883335685
299,0.021388885,1.130072296
44,0.020836705,-6.119693651
274,0.019779552,1.994830191
125,0.018455574,1.775827279
349,0.01819865,-2.716833729
198,0.017894289,-1.506580702
1,0.017359462,5.492060935
32,0.017063081,-2.979965127
148,0.016876962,-1.763159061
398,0.016613126,1.476268419
157,0.014804748,2.730670411
354,0.012668353,1.09125791
341,0.01147314,1.339257779
69,0.010908105,3.753208308
417,0.009526584,-1.66171264
311,0.008997875,2.623607098
426,0.007947059,-1.330511148
220,0.0070433547,-1.85755999
11,0.006207069,-4.823246847
90,0.006104661,2.403811053
83,0.0060603046,2.117842715
382,0.005883552,-1.024242406
214,0.004906053,-3.617510818
328,0.004740129,-1.061737473
143,0.0045337267,1.601131423
53,0.004422456,5.702798302
331,0.0042803115,-1.162639457
269,0.0037944466,-1.526384986
219,0.0037778078,-1.501191792
101,0.0037018168,2.507429226
264,0.0036235915,-1.266738649
255,0.00311245,1.317529133
408,0.003086193,-1.288531376
23,0.0029722361,6.188820738
343,0.0029046126,-1.684303718
436,0.0025319413,2.72501005
289,0.0021033615,-1.209260655
9,0.001548904,6.10632103
133,0.0015391114,-2.023953965
161,0.0007979508,-1.653544714
203,0.0005559128,-1.614562079
86,0.0,-2.220430544
116,0.0,-3.102165235
151,0.0,-2.087488328
