,CBP,Y
435,1.1788875,-1.727396039
34,1.0030285,4.214048109
173,0.8983787,1.405238194
175,0.69255507,-1.975548538
293,0.67356026,1.486969663
42,0.6557948,4.196246154
449,0.5574162,-1.711894283
55,0.55227214,-2.873642311
248,0.4092389,-1.653824603
344,0.3611283,-1.185033851
270,0.359704,-1.666679534
68,0.35530108,-2.269728635
400,0.3550054,2.872898791
302,0.3441111,1.793881075
250,0.33766177,1.340037939
5,0.3281787,5.483674444
7,0.3176054,-6.629883714
373,0.31338406,-1.259120389
415,0.3078138,-1.199116797
249,0.30361843,1.632744019
331,0.30074453,-1.162639457
30,0.28412923,3.506127044
437,0.27971274,1.149425063
279,0.2768054,-1.383787687
421,0.2699429,-0.993125884
108,0.26684573,-1.8480334
306,0.26361063,-1.111489172
59,0.26358512,-3.30204627
156,0.25053453,-1.946478645
112,0.24467406,2.036667215
399,0.24188949,-1.425111615
46,0.24147758,5.756418952
305,0.23645908,-1.28000561
60,0.22623049,3.694334533
443,0.2260108,-1.541549416
355,0.22212464,-1.184185522
378,0.21901855,1.524496552
357,0.21796463,1.580852388
117,0.21414699,6.236945556
337,0.21015942,-1.202137483
92,0.20351963,-2.175713887
25,0.20114233,-3.425236183
74,0.20041762,-2.271412373
427,0.19941728,-1.008910959
45,0.19563848,5.077253261
372,0.18974131,1.93665903
104,0.18894418,-1.914112618
280,0.1880121,2.72626375
9,0.18697383,6.10632103
35,0.18670487,-4.015309116
121,0.18544364,-2.736974545
64,0.18039499,2.716445086
72,0.17749177,3.039249254
409,0.17701115,-1.277385587
345,0.1732236,1.990972327
351,0.16035524,-0.970665266
40,0.15975803,4.025796481
58,0.15532303,-5.775027863
419,0.15438163,0.981965438
215,0.15274517,2.475865096
255,0.15213595,1.317529133
271,0.1519589,1.282648515
65,0.14962572,-2.582098708
103,0.14862289,1.773307375
439,0.14791882,0.912154175
284,0.14609767,2.013765747
452,0.14596432,1.00836044
224,0.14571436,1.606519802
29,0.13718238,5.28037773
381,0.13641669,-1.087677987
450,0.13489331,1.069499624
363,0.13482517,1.091953874
172,0.1337134,1.632525193
451,0.13199587,-1.247444204
287,0.13112628,-1.5059536
235,0.13089353,-2.489824668
426,0.12983797,-1.330511148
259,0.12736055,-1.343761876
441,0.12640074,3.368465368
83,0.12639254,2.117842715
433,0.12522772,-1.347667094
166,0.121158004,-1.884029289
98,0.11703602,-2.593381307
78,0.116198145,2.134087501
227,0.11545552,1.204655859
126,0.1148993,-4.85357962
70,0.11444564,3.06660012
102,0.11435127,-3.771855722
282,0.11423846,-2.282447023
190,0.11351613,-1.756158856
200,0.11328115,1.943576434
301,0.11242758,-1.156064424
391,0.110103,-1.623903112
304,0.10935866,1.697354202
221,0.10820905,1.731312322
265,0.108136766,-1.694985111
423,0.107148096,-1.729371935
10,0.106745355,5.598003182
234,0.10539319,2.915670264
16,0.10459459,5.828135839
118,0.10444215,2.049239095
49,0.10408617,-3.0550422
31,0.10204618,-4.443889908
375,0.10174971,1.781810836
229,0.10128212,1.514029283
162,0.101190895,1.828283795
366,0.1011436,-0.998885432
347,0.099577524,-1.218656143
361,0.099212795,1.29378123
349,0.09778976,-2.716833729
406,0.095890336,1.001014406
329,0.09573118,-1.445594527
47,0.09462428,2.913664644
87,0.09356796,2.139631711
424,0.09260667,-2.145090068
408,0.092346646,-1.288531376
365,0.092262276,1.901974291
324,0.09223984,1.248369712
26,0.08659368,-5.57750518
352,0.0864228,1.425799888
226,0.08503978,-1.490931527
170,0.084724225,2.048878896
251,0.08387516,1.660726427
307,0.08239987,1.119584966
380,0.07628228,-1.670519532
254,0.07621294,2.057813982
149,0.07545483,2.04431443
2,0.075439654,6.85891653
129,0.07387188,-2.139368608
19,0.07275691,6.07314227
159,0.07093557,2.197550876
212,0.069755085,-2.148996434
201,0.0672346,2.068542908
94,0.066704296,2.052619284
407,0.065132916,-1.127789376
24,0.06377918,-5.108184033
77,0.06324547,-2.365782575
328,0.06299689,-1.061737473
120,0.06227709,-1.798973594
434,0.06182075,-1.064670115
110,0.060628157,1.961169924
256,0.060122307,-1.278887698
266,0.058822308,-1.414487097
448,0.058595926,1.348303618
405,0.058242816,-1.320353187
309,0.058083903,1.597852236
164,0.058058795,-1.863152424
290,0.057289753,1.324375251
48,0.054110102,2.283833041
192,0.053297516,1.790840157
195,0.052837994,1.767483076
57,0.05028427,-4.595602723
387,0.047831174,-1.6185759
197,0.047731016,1.64243524
436,0.047557797,2.72501005
286,0.047535166,1.269915861
168,0.045831636,5.560515699
417,0.045739166,-1.66171264
317,0.0452739,-1.137133986
32,0.044839997,-2.979965127
246,0.04465776,-1.25695462
148,0.040420502,-1.763159061
183,0.039857995,-1.667160143
241,0.039835073,-1.454237066
341,0.039454754,1.339257779
122,0.03697058,-2.049729447
447,0.036067273,-2.89251186
252,0.034780327,1.235419888
206,0.03466868,-1.626561654
96,0.0344205,2.465417515
15,0.034371465,4.257071489
199,0.03333948,1.825967322
85,0.03317982,2.998836424
310,0.033163182,1.370878031
296,0.032448016,-1.548034487
207,0.03211856,1.871245795
342,0.030963598,3.157710489
142,0.03084088,-3.563871481
240,0.030769834,1.308742217
193,0.030476702,-1.993161256
181,0.030387793,-2.188038084
430,0.029749421,2.990495323
299,0.029591048,1.130072296
79,0.029465685,2.4001124
160,0.02934941,2.03312065
319,0.029265823,1.174935308
139,0.029178523,2.126834393
178,0.028448395,1.681638932
371,0.027017413,1.190950389
238,0.026612084,1.792095065
205,0.026426518,1.538171627
218,0.026149223,1.365233415
414,0.024724072,1.079937837
303,0.022437748,1.847961641
444,0.022406928,2.606915508
114,0.022297367,-1.974332396
153,0.022054844,2.397801567
185,0.020575626,1.73965628
442,0.020287536,-1.496476383
213,0.019418001,1.689899336
291,0.017077187,1.48076621
54,0.01690076,-3.917537678
335,0.016851295,-1.658902861
38,0.016726179,-3.599932677
3,0.015754132,-5.149067914
382,0.013719826,-1.024242406
100,0.01345524,-3.089678967
73,0.012895924,-5.093189209
179,0.011808541,-1.916006494
253,0.011478942,-1.612114038
109,0.011257631,-2.444521625
219,0.0074406993,-1.501191792
418,0.006621078,-0.908183722
262,0.0064372024,-1.366702392
6,0.005965251,5.347452024
202,0.005909244,-1.797428115
43,0.0037560232,-3.576147532
146,0.0035467343,-1.769384057
33,0.0028411057,-4.803161713
308,0.0028107243,-1.198439912
132,0.0016882253,1.485398142
396,0.0015614451,-1.16299993
151,3.4396527e-07,-2.087488328
86,3.4396527e-07,-2.220430544
116,-4.299567e-07,-3.102165235
140,-0.00059836573,2.091863114
292,-0.0006709743,1.495044999
222,-0.00087668985,1.919007779
67,-0.0011951724,-3.639358314
231,-0.0022465517,1.283890535
336,-0.0024656712,-1.19231616
136,-0.0026426106,-2.095123275
233,-0.0028340463,1.810873386
388,-0.0029881955,2.427259798
69,-0.0040919334,3.753208308
187,-0.0042805425,1.550204272
91,-0.0047737,-2.338263305
300,-0.0050546434,1.934335315
90,-0.0051529347,2.403811053
446,-0.005155351,-1.344246889
298,-0.005313028,-2.278031725
115,-0.0058866623,2.102946438
157,-0.0064067137,2.730670411
413,-0.006491017,1.326689694
93,-0.0067024883,-3.922343128
14,-0.0073064067,6.414533932
326,-0.007422744,1.089365546
359,-0.007776565,1.146101623
438,-0.008544759,-0.919249444
44,-0.008572441,-6.119693651
239,-0.008609378,-1.649966561
368,-0.008628495,1.097387767
138,-0.008673913,-2.546554769
432,-0.008936494,0.894764388
268,-0.008959077,2.115749339
294,-0.009642716,-1.933875273
445,-0.010062026,1.172463616
386,-0.013133115,-1.363922417
278,-0.013808838,1.481910639
370,-0.013919622,1.385029871
325,-0.014798993,-1.181586773
165,-0.015409874,2.457476291
316,-0.015789742,1.452497901
267,-0.015844252,2.8632863
158,-0.015921893,-1.883335685
237,-0.017687708,-1.39241525
297,-0.01932905,-1.170145069
23,-0.019581202,6.188820738
63,-0.020306695,-4.483391145
314,-0.02038728,1.575282271
420,-0.02154692,-0.919911399
217,-0.021782873,-1.41259009
99,-0.021958968,3.072988424
389,-0.022398641,1.420147376
362,-0.023961417,-1.179469822
216,-0.024765838,1.449159707
13,-0.024789458,7.352031362
125,-0.025081238,1.775827279
12,-0.025453072,-6.156973506
22,-0.026290372,5.540441085
194,-0.027139641,1.6436566
208,-0.027906908,1.76610747
379,-0.028413383,-1.077284022
394,-0.029367542,1.698995379
260,-0.029937655,2.025826194
343,-0.030026155,-1.684303718
320,-0.030727493,2.527963176
177,-0.03151003,-1.796271354
272,-0.03198331,1.227174569
312,-0.03221174,-1.302346923
